AgMIP;AgMIPext
CAN;CAN
USA;USA
BRA;BRA
OSA;OSA
FSU;FSU
EUR;EUR
MEN;MEN
SSA;SSA
CHN;CHN
IND;IND
SEA;SEA
OAS;OAS
ANZ;ANZ
NAM;CAN
NAM;USA
OAM;BRA
OAM;OSA
AME;MEN
AME;SSA
SAS;CHN
SAS;IND
SAS;SEA
SAS;OAS
