magpie;agmip;item;unit;weight;factor
Demand|+|Bioenergy (Mt DM/yr);CONS;AGR;1000 t dm;NULL;1000
Demand|+|Bioenergy (Mt DM/yr);OTHU;AGR;1000 t dm;NULL;1000
Demand|+|Food (Mt DM/yr);CONS;AGR;1000 t dm;NULL;1000
Demand|+|Food (Mt DM/yr);FOOD;AGR;1000 t dm;NULL;1000
Demand|+|Material (Mt DM/yr);CONS;AGR;1000 t dm;NULL;1000
Demand|+|Material (Mt DM/yr);OTHU;AGR;1000 t dm;NULL;1000
Demand|+|Seed (Mt DM/yr);CONS;AGR;1000 t dm;NULL;1000
Demand|+|Seed (Mt DM/yr);OTHU;AGR;1000 t dm;NULL;1000
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);CONS;ECP;1000 t dm;NULL;1000
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);OTHU;ECP;1000 t dm;NULL;1000
Demand|Bioenergy|+|Crop residues (Mt DM/yr);CONS;AGR;1000 t dm;NULL;-1000
Demand|Bioenergy|+|Crop residues (Mt DM/yr);OTHU;AGR;1000 t dm;NULL;-1000
Demand|Bioenergy|+|Crops (Mt DM/yr);CONS;CRP;1000 t dm;NULL;1000
Demand|Bioenergy|+|Crops (Mt DM/yr);OTHU;CRP;1000 t dm;NULL;1000
Demand|Bioenergy|+|Fish (Mt DM/yr);CONS;AGR;1000 t dm;NULL;-1000
Demand|Bioenergy|+|Fish (Mt DM/yr);OTHU;AGR;1000 t dm;NULL;-1000
Demand|Bioenergy|+|Fish (Mt DM/yr);CONS;FSH;1000 t dm;NULL;1000
Demand|Bioenergy|+|Fish (Mt DM/yr);OTHU;FSH;1000 t dm;NULL;1000
Demand|Bioenergy|+|Forest products (Mt DM/yr);CONS;AGR;1000 t dm;NULL;-1000
Demand|Bioenergy|+|Forest products (Mt DM/yr);OTHU;AGR;1000 t dm;NULL;-1000
Demand|Bioenergy|+|Livestock products (Mt DM/yr);CONS;LSP;1000 t dm;NULL;1000
Demand|Bioenergy|+|Livestock products (Mt DM/yr);OTHU;LSP;1000 t dm;NULL;1000
Demand|Bioenergy|+|Secondary products (Mt DM/yr);CONS;CRP;1000 t dm;NULL;1000
Demand|Bioenergy|+|Secondary products (Mt DM/yr);OTHU;CRP;1000 t dm;NULL;1000
Demand|Bioenergy|Crops|+|Sugar crops (Mt DM/yr);CONS;SGC;1000 t dm;NULL;1000
Demand|Bioenergy|Crops|+|Sugar crops (Mt DM/yr);OTHU;SGC;1000 t dm;NULL;1000
Demand|Bioenergy|Crops|Cereals|+|Maize (Mt DM/yr);CONS;CGR;1000 t dm;NULL;1000
Demand|Bioenergy|Crops|Cereals|+|Maize (Mt DM/yr);OTHU;CGR;1000 t dm;NULL;1000
